expected_l0,hidden_dim,toy_seed,superposition_ratio,ev,mean_abs_cosine,hidden_rank_pr,top1_eigen_share
1.5,2,0,12.0,0.8961254862276923,0.604321128097438,1.8885050163144568,0.6477049434810356
1.5,2,1,12.0,0.883476327449582,0.6402428083861229,1.989883931881346,0.5428646130322042
1.5,2,2,12.0,0.8971048115204473,0.6539836295585325,1.9755261742528407,0.5446727876805771
1.5,4,0,6.0,0.8861423478751236,0.4112408307774404,3.770884949864225,0.34566996621903634
1.5,4,1,6.0,0.875918006801985,0.41199232486216597,3.8373808169627948,0.33548653665972233
1.5,4,2,6.0,0.877621295072485,0.41104369903568905,3.7476569136436075,0.33200252676209735
1.5,6,0,4.0,0.8688415505308509,0.3101723999164542,5.513104017305494,0.2650794042896273
1.5,6,1,4.0,0.8759180246330103,0.3045546141701421,5.522575381822552,0.25683680456428587
1.5,6,2,4.0,0.874403978514289,0.29845519003223625,5.441297077925968,0.26019851729583143
2.5,2,0,12.0,0.8991764618244127,0.6214246447760445,1.9831726075789375,0.5585023587533886
2.5,2,1,12.0,0.8755868421785779,0.6362580463382266,1.9780020014780173,0.5486138272568762
2.5,2,2,12.0,0.8980889670729751,0.6303558786833442,1.9994045422016118,0.5150236118972871
2.5,4,0,6.0,0.8937996398842405,0.4054161758104444,3.87969719018728,0.3140744939280223
2.5,4,1,6.0,0.8910051228659507,0.43701108968052893,3.8824188083291475,0.29652368020579223
2.5,4,2,6.0,0.8921904212218031,0.39809045691693046,3.8385922646062776,0.31603096600842534
2.5,6,0,4.0,0.882118356951938,0.31940473264466224,5.807625285048731,0.20805043481344815
2.5,6,1,4.0,0.8792021814324934,0.2938963265085791,5.85174746091956,0.19346744896857884
2.5,6,2,4.0,0.8835870309809772,0.32877656939366906,5.8407820276665845,0.19597447347880387
4.0,2,0,12.0,0.8747340776537793,0.6238192394508955,1.9966118654999465,0.5026273198169822
4.0,2,1,12.0,0.8848573615946843,0.6300205333914934,1.899132004064275,0.5924595842326644
4.0,2,2,12.0,0.8725365362491883,0.644964302074049,1.9970867997443082,0.5334314434303373
4.0,4,0,6.0,0.8855655532045713,0.38888659789517,3.9889198009232603,0.2687494981175134
4.0,4,1,6.0,0.8915861666274605,0.38536019115701536,3.89394342732484,0.29375901726485204
4.0,4,2,6.0,0.8973008023208553,0.3902156044357546,3.955114404852472,0.2915030442432099
4.0,6,0,4.0,0.8871328156773105,0.28637310790150006,5.814795433877549,0.22318460314964975
4.0,6,1,4.0,0.884075157075925,0.30300963228620464,5.93828144630246,0.19223357004632483
4.0,6,2,4.0,0.883525194534367,0.30907621135805624,5.907255500013836,0.19827666053492296
